id,CODIGO_SEC,SECTO1_1993,SECTO2_1993,SECTO3_1993,SECTO4_1993,SECTO5_1993,SECTO6_1993,SECTO1_2005,SECTO2_2005,SECTO3_2005,SECTO4_2005,SECTO5_2005,SECTO6_2005
1,1100111101,139,130,127,95,18,15,434,461,642,583,572,52
2,1100111102,209,266,374,294,98,50,249,859,1084,602,272,27
3,1100111103,169,235,342,225,78,41,35,708,593,253,35,46
4,1100111104,109,97,92,47,18,9,559,457,229,102,40,0
5,1100111105,319,185,132,55,10,11,204,315,251,200,0,0
6,1100111106,772,985,1120,644,160,73,510,1283,1448,1204,173,77
7,1100111107,247,361,572,314,74,46,283,447,888,246,167,0
8,1100111108,282,443,595,644,302,131,162,448,700,678,314,230
9,1100111109,31,38,123,189,117,78,94,0,256,494,122,0
10,1100111110,42,45,118,139,64,46,106,213,238,220,151,0
11,1100111111,25,57,161,274,150,76,0,47,628,562,159,27
12,1100111112,23,13,45,93,43,22,0,0,57,47,76,0
13,1100111114,29,44,112,133,71,42,103,87,135,75,30,62
14,1100111115,102,111,121,56,5,2,244,150,259,76,39,0
15,1100111201,228,512,785,567,204,110,274,742,947,677,161,83
16,1100111202,25,40,161,422,280,157,14,76,252,583,271,63
17,1100111203,6,17,50,162,81,58,1,18,136,183,113,56
18,1100111204,46,91,448,1081,722,378,33,237,757,1302,638,306
19,1100111205,13,35,127,306,196,90,0,94,281,207,80,0
20,1100111206,7,11,28,81,65,24,0,69,139,144,38,0
21,1100111207,37,93,247,382,219,123,0,154,525,541,447,157
22,1100111208,2,13,22,17,4,0,17,46,56,18,2,0
23,1100111209,35,87,187,296,164,115,102,137,342,581,261,162
24,1100111210,43,74,172,256,153,115,0,106,254,243,58,47
25,1100111301,185,354,633,463,110,56,469,678,1269,1267,340,197
26,1100111302,99,249,520,437,137,63,93,207,783,279,30,83
27,1100111303,335,784,1069,656,146,59,403,1684,1125,1170,257,44
28,1100111304,979,1671,1957,989,203,91,1397,3266,2564,1536,200,126
29,1100111305,287,400,452,235,54,16,339,784,959,208,96,0
30,1100111306,360,528,705,489,128,56,31,394,894,375,282,42
31,1100111308,415,707,879,551,100,68,507,1128,918,1058,172,0
32,1100111309,638,907,1002,485,109,52,127,510,468,221,40,36
33,1100111310,402,567,759,353,96,57,436,377,875,686,89,125
34,1100111311,355,608,664,318,68,26,258,698,630,406,69,0
35,1100111312,338,383,400,195,39,12,212,224,558,284,198,58
36,1100111314,362,502,600,265,48,16,292,344,495,403,53,0
37,1100111315,478,632,737,381,82,35,0,513,873,348,0,0
38,1100111317,130,158,119,46,6,3,208,307,108,87,42,0
39,1100111318,229,356,281,97,16,9,33,386,133,35,0,0
40,1100111319,737,1044,1011,454,100,37,718,1175,1016,431,293,34
41,1100111320,653,981,1087,442,60,26,462,1038,1008,527,109,29
42,1100111321,840,958,1084,551,105,49,795,788,1550,536,294,5
43,1100111322,109,131,101,54,9,0,84,94,294,246,0,0
44,1100111323,593,817,847,406,81,64,283,691,778,273,45,0
45,1100111324,414,554,795,552,120,52,295,677,872,143,1,0
46,1100111325,440,438,355,150,22,12,186,269,446,78,192,0
47,1100111326,383,426,376,125,31,11,138,266,395,228,33,0
48,1100111327,505,614,692,338,83,36,107,117,785,354,37,55
49,1100111328,255,166,124,53,5,1,307,81,147,44,27,0
50,1100111329,364,300,250,99,20,9,177,93,293,37,0,0
51,1100111330,45,46,39,19,3,1,0,33,0,1,0,0
52,1100111331,98,194,248,148,47,23,121,89,206,55,46,1
53,1100111332,508,947,1446,896,211,76,742,733,889,561,180,117
54,1100111401,159,431,1123,1130,410,157,110,225,969,834,356,162
55,1100111402,164,394,1108,1567,607,266,104,613,1445,1715,610,82
56,1100111403,12,33,206,676,474,245,0,1,225,880,385,120
57,1100111404,22,117,417,772,513,206,152,97,609,714,368,278
58,1100111405,136,362,879,1049,437,210,131,961,1187,1302,537,246
59,1100111406,130,320,665,857,379,191,111,150,1185,1017,582,110
60,1100111407,108,196,338,252,79,33,302,690,392,281,144,57
61,1100111408,115,270,623,651,232,95,213,580,1275,503,351,49
62,1100111409,504,845,1097,684,182,67,477,1127,922,498,206,79
63,1100111410,179,345,743,695,281,95,137,457,959,826,193,106
64,1100112101,50,137,323,467,205,100,110,268,653,506,107,37
65,1100112102,108,202,599,1123,650,416,114,321,908,1198,490,240
66,1100112103,69,145,444,595,265,170,187,266,567,541,192,85
67,1100112104,166,360,915,1103,509,303,222,510,1299,1299,446,258
68,1100112105,110,180,282,207,78,41,37,163,228,89,19,15
69,1100112106,1,0,16,49,33,15,0,14,22,6,10,0
70,1100112107,23,74,279,575,365,195,49,267,513,433,79,57
71,1100112201,97,295,545,551,213,97,143,284,697,589,175,50
